Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes
simple,,,"ENHANCE Gaming Scoria 2 Wired Gaming Headset - Gaming Headphones with 7.1 Surround Sound, Soft Memory Foam Earpads, Fast Access Controls - Headset with Mic Compatible with PlayStation, PC, Laptop 4.6 out of 5 stars 5 $34.99$34.99Delivery Thu, Jan 9 Ships to France Small Business<img alt="""" src=""https://m.media-amazon.com/images/I/111mHoVK0kL._SS200_.png"" height=""24px"" width=""24px""/> Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more Add to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,384.89000000000004,headset,,,https://m.media-amazon.com/images/I/71NVV0d8MQL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Corsair Virtuoso MAX Wireless Gaming Headset – Dolby Atmos, Active Noise Cancelling, Sonarworks SoundID, Simultaneous 2.4GHz Wireless & Bluetooth, 50mm Graphene Drivers, PC, Mac, PS5/PS4 – Carbon 4.1 out of 5 stars 154 500+ bought in past month$329.99$329.99Delivery Tue, Dec 31 Ships to FranceAdd to cartMore Buying Choices$316.49(2 used & new offers)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3629.8900000000003,headset,,,https://m.media-amazon.com/images/I/81QbgmvTOuL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"V9 Pro 3.5MM Jack Gaming Headset for PS5, PS4, Switch, Xbox Series X|S, Mac, PC - Wired Over-Ear Headphones with Noise Cancelling Mic, 50MM Dynamic Drivers, RGB Lights, Memory Foam Ear Pads, Blue 3.9 out of 5 stars 8 $34.99$34.9920% off coupon appliedSave 20% with coupon $18.10 deliveryShips to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,384.89000000000004,headset,,,https://m.media-amazon.com/images/I/71bdV7kGJ9L._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"NUBWO G08 Wireless Gaming Headset with Crystal-Clear Microphone for PS5, PS4, PC, and Switch, 100-Hr Battery, Ergonomic Design 3.7 out of 5 stars 21 $19.99$19.99 Typical: $39.99$39.99Delivery Thu, Jan 9 Ships to FranceOnly 1 left in stock - order soon.Add to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,219.89,headset,,,https://m.media-amazon.com/images/I/71Def4aitPL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Wireless Gaming Headset for Nintendo Switch Lite OLED Models, 2.4GHz Bluetooth Gaming Headset with 3D Vibration Sound, Detachable Noise Cancelling Mic, USB-C to USB-A Adapter for PS5, PS4, PC 4.9 out of 5 stars 63 300+ bought in past month$60.99$60.99 List: $69.99$69.99Delivery Thu, Jan 9 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,670.89,headset,,,https://m.media-amazon.com/images/I/7165bVu1OtL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Mytrix Wired Gaming Headset with Mic for PS4, PS5, Xbox, PC, Mac, Switch, Cat Ear Gaming Headphones with 360° Rotation Microphone, Surround Sound, Soft Earmuff, RGB Light Effect - Gradient Pink Blue 4.4 out of 5 stars 19 200+ bought in past month$29.99$29.99$18.10 deliveryShips to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,329.89,headset,,,https://m.media-amazon.com/images/I/7156d6XtxdL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback Turtle Beach Stealth 500 Wireless Amplified Gaming Headset for PS5, PS4, PC, Nintendo Switch, & Mobile – 40-Hr Battery, Bluetooth, Memory Foam Cushions, Flip-to-Mute Mic, EQ Presets – Black by Turtle Beach4.1 out of 5 stars 133 5K+ bought in past monthPlayStation $71.99$71.99 List: $79.99$79.99Delivery Thu, Jan 9 Ships to France+1 other color/pattern",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,791.89,headset,,,https://m.media-amazon.com/images/I/71cHJujGTHL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback Wireless Gaming Headset for PC, PS5, PS4, Switch, Gaming Headset with Detachable Noise Cancelling Mic, 2.4GHz & Bluetooth 5.3 Dual Connection, 7.1 Surround Sound Black 5.0 out of 5 stars 61 500+ bought in past month$41.99$41.99 List: $65.49$65.4920% off coupon appliedSave 20% with coupon Delivery Thu, Jan 9 Ships to FranceAdd to cart+1 other color/pattern",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,461.89000000000004,headset,,,https://m.media-amazon.com/images/I/6188oe0r9wL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Wireless Gaming Headset, 2.4GHz USB Gaming Headphones for PS5, PS4, PC, Fortnite, Switch, Mac with Bluetooth 5.3, 60H Battery, ENC Noise Canceling Microphone, Gamer Headphones, Red 4.5 out of 5 stars 207 200+ bought in past month$24.99$24.99 List: $39.99$39.99Delivery Thu, Jan 9 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,274.89,headset,,,https://m.media-amazon.com/images/I/61fg-b8-xvL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Gaming Headset with Microphone Wired Headset with Active Noise Canceling Microphone, 3.5mm Audio Jack Stereo Headphone (Blcak Blue) 3.0 out of 5 stars 1 $20.99$20.99Delivery Fri, Jan 10 Ships to FranceOnly 16 left in stock - order soon.Add to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,230.89,headset,,,https://m.media-amazon.com/images/I/61CZmrgSFfL._AC_UY218_.jpg,,,,,,,,,0,
